order_no,mem_no,order_date,store_cd
2003031,1002546,2020-09-23,2007
2003050,1002518,2020-09-24,2009
2003051,1002520,2020-09-24,2010
2003054,1002534,2020-09-24,2002
2003061,1000833,2020-09-25,2014
2003075,1000839,2020-09-26,2013
2003077,1000840,2020-09-26,2013
2003079,1000841,2020-09-26,2013
2003081,1000842,2020-09-26,2006
2003082,1000844,2020-09-26,2015
2003092,1002510,2020-09-26,2011
2003093,1002513,2020-09-26,2001
2003108,1002519,2020-09-27,2015
2003109,1002530,2020-09-27,2015
2003111,1000830,2020-09-28,2014
2003112,1000831,2020-09-28,2006
2003118,1000846,2020-09-28,2015
2003123,1000874,2020-09-28,2014
2003129,1002514,2020-09-28,2006
2003137,1000834,2020-09-29,2006
2003138,1000835,2020-09-29,2006
2003139,1000837,2020-09-29,2014
2003141,1000838,2020-09-29,2013
2003161,1002507,2020-09-29,2012
2003162,1002521,2020-09-29,2011
2003163,1002524,2020-09-29,2010
2003179,1002497,2020-09-30,2007
2003180,1002498,2020-09-30,2002
2003190,1002511,2020-10-01,2002
2003214,1002508,2020-10-02,2010
2003233,1001639,2020-10-03,2011
2003234,1001640,2020-10-03,2011
2003235,1001641,2020-10-03,2011
2003236,1001642,2020-10-03,2011
2003237,1001643,2020-10-03,2011
2003242,1000829,2020-10-04,2006
2003247,1000836,2020-10-04,2014
2003260,1002509,2020-10-04,2012
2003267,1000824,2020-10-05,2015
2003268,1000825,2020-10-05,2015
2003280,1001634,2020-10-05,2011
2003291,1001638,2020-10-06,2011
2003292,1002501,2020-10-06,2002
2003295,1000832,2020-10-07,2006
2003297,1000848,2020-10-07,2015
2003300,1001637,2020-10-07,2011
2003307,1000828,2020-10-08,2006
2003345,1001628,2020-10-10,2011
2003355,1001626,2020-10-11,2011
2003356,1001627,2020-10-11,2011
2003357,1001635,2020-10-11,2011
2003358,1001636,2020-10-11,2011
2003363,1000827,2020-10-12,2015
2003378,1001617,2020-10-13,2003
2003379,1001623,2020-10-13,2011
2003380,1002499,2020-10-13,2002
2003388,1001622,2020-10-14,2011
2003402,1000826,2020-10-15,2015
2003410,1001615,2020-10-15,2003
2003411,1001616,2020-10-15,2009
2003412,1001618,2020-10-15,2009
2003414,1001621,2020-10-15,2011
2003424,1001613,2020-10-16,2013
2003426,1001620,2020-10-16,2011
2003428,1002500,2020-10-16,2002
2003435,1001612,2020-10-17,2003
2003440,1001608,2020-10-18,2013
2003441,1001610,2020-10-18,2003
2003451,1001605,2020-10-19,2003
2003471,1001606,2020-10-21,2003
2003474,1001599,2020-10-22,2003
2003475,1001603,2020-10-22,2009
2003476,1001624,2020-10-22,2011
2003477,1001625,2020-10-22,2011
2003482,1001597,2020-10-23,2013
2003483,1001600,2020-10-23,2001
2003484,1001614,2020-10-23,2009
2003488,1001594,2020-10-24,2003
2003493,1001629,2020-10-24,2011
2003499,1001589,2020-10-26,2003
2003501,1001609,2020-10-26,2009
2003507,1001590,2020-10-27,2001
2003512,1001630,2020-10-27,2011
2003513,1001631,2020-10-27,2011
2003514,1001632,2020-10-27,2011
2003516,1001587,2020-10-28,2013
2003518,1001584,2020-10-29,2003
2003524,1001633,2020-10-30,2011
2003527,1001601,2020-10-31,2003
2003529,1001611,2020-10-31,2008
2003533,1001604,2020-11-02,2008
2003534,1001595,2020-11-03,2013
2003535,1001598,2020-11-03,2001
2003536,1001591,2020-11-04,2003
2003539,1001619,2020-11-05,2007
2003553,1001585,2020-11-08,2013
2003554,1001588,2020-11-08,2001
2003555,1001592,2020-11-08,2008
2003556,1001607,2020-11-08,2002
2003574,1001602,2020-11-13,2001
2003578,1001593,2020-11-15,2007
2003579,1001596,2020-11-15,2001
2003587,1001586,2020-11-20,2001
2003590,1001648,2020-12-07,2011
2003591,1001647,2020-12-09,2011
2003592,1001669,2020-12-19,2011
2003593,1001645,2020-12-21,2011
2003594,1001667,2020-12-24,2011
2003595,1001663,2020-12-29,2011
2003596,1001673,2020-12-30,2011
2003597,1001650,2020-12-31,2011
2003598,1001651,2020-12-31,2011
2003599,1001661,2020-12-31,2011
2003600,1001666,2020-12-31,2011
2003601,1001668,2021-01-01,2011
2003602,1001671,2021-01-01,2011
2003603,1001672,2021-01-01,2011
2003604,1001649,2021-01-04,2011
2003605,1001662,2021-01-04,2011
2003606,1001659,2021-01-07,2011
2003607,1001660,2021-01-07,2011
2003608,1001656,2021-01-08,2011
2003609,1001657,2021-01-08,2011
2003610,1001658,2021-01-08,2011
2003611,1001670,2021-01-08,2011
2003612,1001653,2021-01-09,2011
2003613,1001654,2021-01-09,2011
2003614,1001655,2021-01-09,2011
2003615,1001665,2021-01-12,2011
2003616,1000713,2021-01-14,2015
2003617,1000798,2021-01-17,2014
2003618,1001652,2021-01-17,2011
2003619,1000060,2021-01-18,2001
2003620,1000714,2021-01-18,2015
2003623,1001664,2021-01-20,2011
2003624,1002471,2021-01-20,2010
2003625,1000061,2021-01-22,2015
2003626,1002388,2021-01-22,2011
2003627,1000715,2021-01-23,2015
2003629,1000799,2021-01-24,2011
2003630,1000062,2021-01-27,2011
2003631,1001736,2021-01-27,2011
2003632,1000739,2021-01-28,2007
2003633,1000741,2021-01-28,2015
2003634,1000716,2021-01-29,2015
2003636,1001733,2021-01-29,2011
2003637,1002676,2021-01-29,2001
2003639,1002327,2021-01-30,2011
2003640,1000800,2021-01-31,2007
2003641,1000001,2021-02-01,2011
2003642,1000063,2021-02-01,2011
2003643,1000654,2021-02-01,2007
2003644,1000745,2021-02-01,2015
2003647,1000717,2021-02-02,2015
2003648,1002337,2021-02-02,2011
2003650,1002331,2021-02-03,2011
2003651,1002387,2021-02-03,2011
2003652,1002420,2021-02-03,2011
2003653,1000003,2021-02-04,2005
2003654,1000656,2021-02-04,2008
2003656,1000801,2021-02-04,2015
2003657,1002339,2021-02-04,2011
2003658,1000005,2021-02-05,2011
2003659,1000658,2021-02-05,2007
2003660,1001684,2021-02-05,2011
2003661,1002472,2021-02-05,2010
2003663,1000751,2021-02-06,2015
2003664,1002391,2021-02-06,2011
2003665,1000007,2021-02-07,2011
2003667,1000718,2021-02-07,2015
2003668,1001734,2021-02-07,2011
2003669,1002335,2021-02-07,2011
2003671,1000660,2021-02-08,2008
2003672,1002343,2021-02-08,2011
2003673,1002386,2021-02-08,2011
2003674,1000009,2021-02-09,2011
2003675,1000662,2021-02-09,2007
2003676,1000749,2021-02-09,2007
2003677,1001688,2021-02-09,2011
2003678,1002475,2021-02-09,2010
2003679,1000743,2021-02-10,2007
2003681,1000804,2021-02-10,2015
2003682,1002412,2021-02-10,2011
2003683,1000013,2021-02-11,2015
2003685,1002385,2021-02-11,2011
2003686,1000664,2021-02-12,2008
2003687,1000719,2021-02-12,2015
2003690,1000753,2021-02-12,2007
2003691,1002414,2021-02-12,2011
2003693,1000015,2021-02-13,2015
2003694,1000016,2021-02-13,2015
2003695,1000712,2021-02-13,2015
2003696,1000747,2021-02-13,2007
2003697,1000754,2021-02-13,2007
2003698,1002341,2021-02-13,2011
2003699,1002687,2021-02-13,2010
2003700,1000755,2021-02-14,2007
2003701,1001737,2021-02-14,2011
2003702,1002413,2021-02-14,2011
2003703,1002416,2021-02-14,2011
2003706,1000802,2021-02-15,2015
2003707,1001674,2021-02-15,2011
2003708,1001694,2021-02-15,2011
2003709,1002689,2021-02-15,2010
2003710,1000059,2021-02-16,2015
2003711,1000668,2021-02-16,2008
2003712,1001675,2021-02-16,2011
2003713,1001735,2021-02-16,2011
2003714,1002342,2021-02-16,2011
2003715,1002415,2021-02-16,2011
2003716,1002418,2021-02-16,2011
2003717,1000019,2021-02-17,2015
2003718,1000670,2021-02-17,2007
2003719,1001676,2021-02-17,2011
2003720,1002672,2021-02-17,2015
2003721,1002691,2021-02-17,2010
2003723,1000017,2021-02-18,2015
2003724,1000020,2021-02-18,2015
2003725,1000168,2021-02-18,2015
2003727,1000672,2021-02-18,2012
2003728,1002215,2021-02-18,2008
2003729,1002346,2021-02-18,2011
2003730,1002390,2021-02-18,2011
2003731,1002417,2021-02-18,2011
2003733,1000018,2021-02-19,2015
2003734,1000021,2021-02-19,2015
2003735,1000320,2021-02-19,2015
2003737,1001678,2021-02-19,2011
2003738,1001682,2021-02-19,2011
2003739,1001952,2021-02-19,2011
2003740,1002422,2021-02-19,2011
2003741,1002474,2021-02-19,2010
2003742,1002674,2021-02-19,2010
2003743,1002693,2021-02-19,2010
2003745,1000022,2021-02-20,2015
2003746,1001679,2021-02-20,2011
2003747,1002419,2021-02-20,2011
2003748,1002473,2021-02-20,2010
2003749,1002678,2021-02-20,2005
2003752,1000064,2021-02-21,2011
2003753,1000655,2021-02-21,2012
2003755,1001680,2021-02-21,2011
2003756,1002285,2021-02-21,2011
2003757,1002347,2021-02-21,2011
2003758,1002394,2021-02-21,2011
2003759,1002424,2021-02-21,2011
2003760,1000002,2021-02-22,2011
2003763,1000674,2021-02-22,2008
2003764,1001738,2021-02-22,2011
2003765,1002328,2021-02-22,2011
2003767,1000431,2021-02-23,2009
2003768,1000666,2021-02-23,2007
2003769,1001686,2021-02-23,2011
2003770,1002062,2021-02-23,2011
2003771,1002338,2021-02-23,2011
2003772,1002389,2021-02-23,2011
2003773,1002426,2021-02-23,2011
2003774,1000004,2021-02-24,2011
2003776,1000720,2021-02-24,2015
2003777,1000748,2021-02-24,2015
2003778,1002329,2021-02-24,2011
2003779,1002427,2021-02-24,2011
2003782,1000612,2021-02-25,2008
2003783,1000659,2021-02-25,2012
2003784,1000806,2021-02-25,2015
2003785,1002284,2021-02-25,2011
2003786,1002428,2021-02-25,2011
2003787,1002476,2021-02-25,2010
2003788,1002680,2021-02-25,2015
2003789,1000011,2021-02-26,2015
2003790,1000065,2021-02-26,2011
2003791,1000208,2021-02-26,2010
2003792,1001951,2021-02-26,2013
2003793,1002061,2021-02-26,2011
2003794,1002172,2021-02-26,2008
2003795,1002332,2021-02-26,2011
2003796,1002429,2021-02-26,2011
2003798,1000318,2021-02-27,2015
2003799,1000752,2021-02-27,2015
2003800,1002430,2021-02-27,2011
2003801,1002432,2021-02-27,2011
2003802,1002682,2021-02-27,2010
2003804,1000671,2021-02-28,2007
2003805,1000803,2021-02-28,2015
2003806,1002333,2021-02-28,2011
2003807,1002345,2021-02-28,2011
2003808,1002431,2021-02-28,2011
2003809,1000008,2021-03-01,2005
2003810,1000663,2021-03-01,2012
2003812,1001690,2021-03-01,2011
2003813,1002479,2021-03-01,2010
2003814,1002683,2021-03-01,2010
2003815,1000278,2021-03-02,2012
2003816,1000539,2021-03-02,2015
2003817,1000611,2021-03-02,2008
2003818,1000652,2021-03-02,2011
2003819,1000723,2021-03-02,2015
2003820,1000750,2021-03-02,2007
2003821,1000756,2021-03-02,2007
2003822,1000805,2021-03-02,2015
2003823,1001689,2021-03-02,2011
2003824,1001691,2021-03-02,2011
2003826,1002283,2021-03-02,2011
2003827,1002336,2021-03-02,2011
2003828,1002684,2021-03-02,2010
2003829,1000010,2021-03-03,2005
2003830,1000066,2021-03-03,2011
2003831,1000069,2021-03-03,2011
2003832,1000317,2021-03-03,2015
2003833,1000757,2021-03-03,2007
2003834,1001692,2021-03-03,2011
2003835,1001732,2021-03-03,2011
2003836,1002174,2021-03-03,2007
2003837,1002685,2021-03-03,2010
2003838,1000014,2021-03-04,2015
2003839,1000164,2021-03-04,2015
2003840,1000205,2021-03-04,2015
2003841,1000277,2021-03-04,2014
2003842,1000651,2021-03-04,2013
2003843,1000665,2021-03-04,2007
2003845,1000758,2021-03-04,2007
2003847,1001693,2021-03-04,2011
2003849,1001992,2021-03-04,2011
2003850,1002686,2021-03-04,2010
2003851,1000667,2021-03-05,2012
2003852,1000740,2021-03-05,2007
2003853,1000759,2021-03-05,2007
2003854,1001739,2021-03-05,2011
2003856,1002324,2021-03-05,2011
2003857,1002330,2021-03-05,2011
2003858,1002393,2021-03-05,2011
2003859,1000023,2021-03-06,2015
2003861,1000206,2021-03-06,2010
2003862,1000499,2021-03-06,2011
2003863,1000538,2021-03-06,2015
2003864,1000679,2021-03-06,2015
2003865,1000760,2021-03-06,2007
2003866,1000761,2021-03-06,2007
2003867,1001677,2021-03-06,2011
2003868,1002326,2021-03-06,2011
2003869,1002470,2021-03-06,2010
2003870,1002688,2021-03-06,2010
2003871,1000209,2021-03-07,2010
2003872,1000540,2021-03-07,2015
2003873,1000673,2021-03-07,2012
2003874,1000680,2021-03-07,2015
2003875,1000721,2021-03-07,2015
2003876,1001700,2021-03-07,2011
2003877,1001991,2021-03-07,2007
2003878,1002103,2021-03-07,2007
2003879,1002323,2021-03-07,2011
2003880,1002673,2021-03-07,2005
2003881,1002695,2021-03-07,2010
2003883,1000024,2021-03-08,2015
2003884,1000067,2021-03-08,2011
2003885,1000429,2021-03-08,2009
2003886,1000498,2021-03-08,2013
2003887,1000653,2021-03-08,2008
2003888,1000681,2021-03-08,2015
2003889,1000797,2021-03-08,2006
2003890,1001695,2021-03-08,2011
2003892,1002104,2021-03-08,2006
2003893,1002350,2021-03-08,2011
2003894,1002397,2021-03-08,2011
2003895,1002690,2021-03-08,2010
2003896,1000025,2021-03-09,2015
2003897,1000167,2021-03-09,2015
2003898,1000276,2021-03-09,2009
2003899,1000650,2021-03-09,2008
2003900,1000669,2021-03-09,2007
2003901,1000676,2021-03-09,2007
2003902,1000677,2021-03-09,2012
2003903,1000807,2021-03-09,2015
2003905,1001947,2021-03-09,2011
2003906,1002334,2021-03-09,2011
2003907,1002697,2021-03-09,2010
2003908,1000006,2021-03-10,2001
2003910,1000026,2021-03-10,2015
2003911,1000027,2021-03-10,2015
2003912,1000607,2021-03-10,2015
2003913,1000609,2021-03-10,2008
2003914,1000649,2021-03-10,2008
2003915,1000724,2021-03-10,2015
2003916,1000762,2021-03-10,2007
2003917,1000763,2021-03-10,2012
2003918,1000765,2021-03-10,2014
2003919,1001948,2021-03-10,2013
2003920,1002392,2021-03-10,2011
2003921,1002692,2021-03-10,2010
2003923,1000501,2021-03-11,2008
2003924,1002058,2021-03-11,2011
2003925,1002099,2021-03-11,2015
2003926,1002210,2021-03-11,2015
2003927,1002344,2021-03-11,2011
2003928,1002351,2021-03-11,2011
2003929,1002433,2021-03-11,2011
2003930,1002478,2021-03-11,2010
2003931,1002699,2021-03-11,2010
2003933,1000070,2021-03-12,2005
2003934,1000162,2021-03-12,2015
2003935,1000608,2021-03-12,2015
2003936,1000678,2021-03-12,2008
2003938,1001681,2021-03-12,2011
2003939,1002320,2021-03-12,2011
2003940,1002354,2021-03-12,2011
2003941,1002423,2021-03-12,2011
2003942,1002477,2021-03-12,2010
2003943,1000068,2021-03-13,2011
2003944,1000166,2021-03-13,2015
2003945,1000390,2021-03-13,2015
2003946,1000497,2021-03-13,2008
2003948,1000764,2021-03-13,2008
2003950,1000766,2021-03-13,2011
2003951,1001993,2021-03-13,2011
2003952,1002063,2021-03-13,2011
2003954,1000430,2021-03-14,2009
2003956,1000711,2021-03-14,2015
2003957,1000808,2021-03-14,2015
2003961,1002425,2021-03-14,2011
2003962,1002677,2021-03-14,2015
2003963,1000675,2021-03-15,2007
2003964,1000725,2021-03-15,2015
2003967,1002100,2021-03-15,2002
2003968,1002211,2021-03-15,2002
2003969,1002340,2021-03-15,2011
2003970,1002348,2021-03-15,2011
2003971,1002434,2021-03-15,2011
2003972,1002681,2021-03-15,2005
2003973,1000028,2021-03-16,2015
2003974,1000161,2021-03-16,2015
2003975,1000203,2021-03-16,2015
2003976,1001683,2021-03-16,2011
2003977,1002679,2021-03-16,2010
2003981,1000165,2021-03-17,2015
2003982,1000207,2021-03-17,2010
2003983,1000389,2021-03-17,2015
2003984,1000427,2021-03-17,2009
2003987,1000657,2021-03-17,2007
2003989,1000742,2021-03-17,2007
2003991,1001950,2021-03-17,2013
2003992,1002059,2021-03-17,2002
2003993,1002173,2021-03-17,2001
2003994,1002436,2021-03-17,2011
2003995,1002480,2021-03-17,2010
2003996,1002675,2021-03-17,2001
2003998,1000274,2021-03-18,2013
2003999,1000279,2021-03-18,2009
2004000,1000541,2021-03-18,2015
2004001,1000542,2021-03-18,2015
2004002,1000744,2021-03-18,2007
2004003,1001685,2021-03-18,2011
2004004,1002097,2021-03-18,2002
2004005,1002208,2021-03-18,2002
2004006,1002349,2021-03-18,2011
2004007,1002399,2021-03-18,2011
2004009,1000012,2021-03-19,2015
2004011,1000722,2021-03-19,2015
2004012,1000809,2021-03-19,2015
2004013,1000811,2021-03-19,2015
2004015,1002167,2021-03-19,2015
2004016,1002438,2021-03-19,2011
2004024,1000726,2021-03-20,2015
2004025,1000746,2021-03-20,2007
2004027,1001687,2021-03-20,2011
2004028,1001988,2021-03-20,2007
2004029,1002213,2021-03-20,2015
2004030,1002281,2021-03-20,2011
2004031,1002396,2021-03-20,2011
2004032,1000072,2021-03-21,2010
2004033,1000319,2021-03-21,2015
2004034,1000388,2021-03-21,2015
2004035,1000610,2021-03-21,2008
2004036,1000661,2021-03-21,2007
2004043,1001949,2021-03-21,2013
2004044,1002102,2021-03-21,2001
2004045,1002214,2021-03-21,2015
2004046,1002421,2021-03-21,2011
2004048,1000202,2021-03-22,2015
2004050,1000495,2021-03-22,2011
2004051,1000500,2021-03-22,2008
2004053,1000796,2021-03-22,2007
2004055,1001987,2021-03-22,2011
2004056,1002322,2021-03-22,2011
2004057,1002325,2021-03-22,2011
2004058,1002353,2021-03-22,2011
2004061,1000812,2021-03-23,2015
2004062,1002055,2021-03-23,2011
2004063,1002101,2021-03-23,2006
2004064,1002168,2021-03-23,2002
2004065,1002212,2021-03-23,2006
2004066,1002279,2021-03-23,2011
2004067,1002282,2021-03-23,2011
2004068,1000058,2021-03-24,2011
2004069,1000387,2021-03-24,2015
2004070,1000683,2021-03-24,2015
2004071,1000727,2021-03-24,2015
2004073,1000810,2021-03-24,2015
2004075,1001945,2021-03-24,2002
2004076,1001986,2021-03-24,2002
2004077,1000163,2021-03-25,2015
2004086,1002319,2021-03-25,2011
2004087,1002360,2021-03-25,2011
2004088,1002395,2021-03-25,2011
2004090,1000313,2021-03-26,2012
2004091,1000425,2021-03-26,2009
2004093,1000533,2021-03-26,2015
2004095,1000686,2021-03-26,2015
2004100,1002165,2021-03-26,2002
2004101,1002277,2021-03-26,2011
2004102,1002278,2021-03-26,2011
2004103,1002694,2021-03-26,2010
2004104,1000201,2021-03-27,2015
2004105,1000316,2021-03-27,2015
2004107,1001990,2021-03-27,2007
2004108,1002054,2021-03-27,2011
2004109,1002280,2021-03-27,2011
2004110,1002318,2021-03-27,2011
2004111,1002435,2021-03-27,2011
2004112,1002701,2021-03-27,2010
2004113,1000031,2021-03-28,2015
2004114,1000071,2021-03-28,2001
2004115,1000158,2021-03-28,2015
2004116,1000275,2021-03-28,2010
2004117,1000386,2021-03-28,2015
2004118,1000428,2021-03-28,2009
2004119,1000493,2021-03-28,2013
2004120,1001701,2021-03-28,2011
2004121,1001944,2021-03-28,2002
2004122,1002057,2021-03-28,2008
2004123,1002060,2021-03-28,2007
2004124,1002170,2021-03-28,2015
2004125,1002696,2021-03-28,2010
2004126,1000032,2021-03-29,2015
2004127,1000271,2021-03-29,2010
2004128,1000648,2021-03-29,2008
2004129,1000770,2021-03-29,2014
2004130,1002171,2021-03-29,2015
2004131,1002276,2021-03-29,2011
2004132,1002355,2021-03-29,2011
2004133,1002437,2021-03-29,2011
2004134,1002703,2021-03-29,2010
2004135,1000033,2021-03-30,2015
2004137,1000204,2021-03-30,2015
2004138,1000421,2021-03-30,2009
2004139,1000424,2021-03-30,2009
2004142,1000682,2021-03-30,2015
2004145,1002275,2021-03-30,2011
2004146,1002358,2021-03-30,2011
2004147,1002384,2021-03-30,2011
2004148,1002398,2021-03-30,2011
2004149,1002698,2021-03-30,2010
2004150,1000029,2021-03-31,2015
2004151,1000034,2021-03-31,2011
2004152,1000315,2021-03-31,2009
2004153,1000532,2021-03-31,2015
2004154,1000534,2021-03-31,2015
2004155,1000768,2021-03-31,2007
2004156,1001989,2021-03-31,2007
2004157,1002169,2021-03-31,2006
2004158,1002439,2021-03-31,2011
2004159,1002482,2021-03-31,2010
2004160,1002485,2021-03-31,2010
2004161,1002705,2021-03-31,2010
2004162,1000030,2021-04-01,2015
2004163,1000311,2021-04-01,2014
2004164,1000385,2021-04-01,2015
2004165,1000531,2021-04-01,2015
2004167,1000684,2021-04-01,2015
2004169,1002053,2021-04-01,2008
2004170,1002481,2021-04-01,2010
2004173,1000647,2021-04-02,2008
2004175,1000771,2021-04-02,2006
2004177,1002056,2021-04-02,2005
2004178,1002352,2021-04-02,2011
2004179,1002359,2021-04-02,2011
2004180,1002402,2021-04-02,2011
2004182,1000198,2021-04-03,2015
2004183,1000269,2021-04-03,2010
2004185,1000643,2021-04-03,2008
2004189,1002098,2021-04-03,2006
2004190,1002209,2021-04-03,2006
2004191,1000603,2021-04-04,2015
2004193,1001946,2021-04-04,2002
2004194,1002440,2021-04-04,2011
2004195,1000197,2021-04-05,2015
2004196,1000273,2021-04-05,2015
2004197,1000813,2021-04-05,2015
2004200,1002092,2021-04-05,2012
2004201,1002203,2021-04-05,2012
2004202,1002441,2021-04-05,2011
2004203,1000073,2021-04-06,2010
2004204,1000160,2021-04-06,2015
2004205,1000384,2021-04-06,2015
2004206,1000426,2021-04-06,2009
2004207,1000491,2021-04-06,2008
2004208,1000646,2021-04-06,2008
2004209,1000728,2021-04-06,2007
2004210,1001983,2021-04-06,2002
2004211,1002095,2021-04-06,2013
2004212,1002206,2021-04-06,2013
2004213,1002274,2021-04-06,2011
2004214,1000496,2021-04-07,2008
2004215,1000536,2021-04-07,2015
2004216,1000537,2021-04-07,2015
2004217,1000642,2021-04-07,2008
2004218,1001942,2021-04-07,2011
2004219,1002273,2021-04-07,2011
2004220,1002321,2021-04-07,2011
2004221,1002443,2021-04-07,2011
2004223,1002094,2021-04-08,2003
2004224,1002205,2021-04-08,2003
2004225,1000494,2021-04-09,2013
2004226,1000767,2021-04-09,2011
2004229,1001941,2021-04-09,2008
2004230,1002357,2021-04-09,2011
2004231,1002361,2021-04-09,2011
2004232,1002445,2021-04-09,2011
2004233,1000159,2021-04-10,2015
2004234,1000309,2021-04-10,2009
2004235,1000645,2021-04-10,2008
2004236,1002093,2021-04-10,2008
2004237,1002204,2021-04-10,2008
2004238,1002362,2021-04-10,2011
2004239,1002484,2021-04-10,2010
2004240,1000076,2021-04-11,2013
2004241,1000200,2021-04-11,2015
2004242,1000314,2021-04-11,2009
2004243,1000605,2021-04-11,2015
2004244,1000606,2021-04-11,2015
2004245,1000640,2021-04-11,2015
2004246,1000641,2021-04-11,2008
2004247,1000688,2021-04-11,2015
2004250,1002166,2021-04-11,2006
2004251,1002315,2021-04-11,2011
2004252,1002317,2021-04-11,2011
2004253,1002469,2021-04-11,2010
2004254,1002483,2021-04-11,2010
2004255,1000418,2021-04-12,2009
2004256,1000601,2021-04-12,2015
2004258,1000195,2021-04-13,2015
2004259,1000270,2021-04-13,2010
2004260,1000272,2021-04-13,2009
2004261,1000312,2021-04-13,2014
2004262,1000492,2021-04-13,2008
2004263,1000689,2021-04-13,2015
2004264,1000772,2021-04-13,2006
2004268,1001982,2021-04-13,2011
2004269,1001985,2021-04-13,2002
2004270,1002160,2021-04-13,2012
2004271,1002383,2021-04-13,2011
2004272,1000154,2021-04-14,2015
2004273,1000382,2021-04-14,2015
2004274,1000383,2021-04-14,2015
2004275,1000535,2021-04-14,2015
2004276,1000644,2021-04-14,2008
2004279,1002163,2021-04-14,2013
2004280,1002272,2021-04-14,2011
2004281,1002366,2021-04-14,2011
2004282,1002401,2021-04-14,2011
2004283,1000074,2021-04-15,2015
2004284,1000528,2021-04-15,2015
2004285,1000598,2021-04-15,2015
2004286,1000691,2021-04-15,2015
2004288,1002271,2021-04-15,2011
2004289,1002700,2021-04-15,2010
2004291,1002162,2021-04-16,2003
2004292,1002486,2021-04-16,2010
2004293,1002707,2021-04-16,2010
2004294,1000037,2021-04-17,2011
2004295,1000153,2021-04-17,2015
2004296,1000310,2021-04-17,2009
2004297,1000769,2021-04-17,2006
2004298,1000773,2021-04-17,2011
2004300,1001943,2021-04-17,2002
2004301,1001980,2021-04-17,2003
2004302,1001984,2021-04-17,2002
2004303,1002052,2021-04-17,2006
2004304,1002096,2021-04-17,2007
2004305,1002207,2021-04-17,2007
2004306,1002405,2021-04-17,2011
2004307,1002442,2021-04-17,2011
2004308,1002702,2021-04-17,2010
2004309,1000157,2021-04-18,2015
2004310,1000381,2021-04-18,2015
2004311,1000604,2021-04-18,2015
2004313,1002049,2021-04-18,2006
2004314,1002161,2021-04-18,2008
2004315,1002709,2021-04-18,2010
2004316,1000420,2021-04-19,2009
2004317,1000423,2021-04-19,2009
2004318,1000488,2021-04-19,2011
2004319,1000638,2021-04-19,2015
2004320,1000777,2021-04-19,2014
2004323,1002364,2021-04-19,2011
2004324,1002400,2021-04-19,2011
2004325,1002444,2021-04-19,2011
2004326,1002704,2021-04-19,2010
2004327,1000527,2021-04-20,2015
2004328,1000529,2021-04-20,2015
2004329,1000599,2021-04-20,2015
2004330,1002356,2021-04-20,2011
2004331,1002489,2021-04-20,2010
2004332,1000193,2021-04-21,2015
2004333,1000526,2021-04-21,2015
2004334,1000685,2021-04-21,2015
2004335,1000690,2021-04-21,2015
2004336,1000731,2021-04-21,2007
2004337,1000775,2021-04-21,2007
2004339,1001979,2021-04-21,2003
2004340,1002050,2021-04-21,2011
2004341,1000040,2021-04-22,2011
2004342,1000199,2021-04-22,2015
2004343,1000268,2021-04-22,2010
2004344,1000380,2021-04-22,2015
2004345,1000422,2021-04-22,2015
2004346,1001938,2021-04-22,2008
2004347,1002048,2021-04-22,2006
2004348,1002312,2021-04-22,2011
2004349,1002365,2021-04-22,2011
2004350,1000156,2021-04-23,2015
2004351,1000306,2021-04-23,2012
2004352,1000415,2021-04-23,2015
2004353,1000419,2021-04-23,2009
2004354,1000687,2021-04-23,2015
2004355,1000692,2021-04-23,2015
2004356,1000778,2021-04-23,2006
2004358,1002270,2021-04-23,2011
2004359,1000075,2021-04-24,2009
2004360,1000196,2021-04-24,2015
2004361,1000417,2021-04-24,2015
2004362,1000490,2021-04-24,2008
2004363,1000732,2021-04-24,2007
2004364,1002269,2021-04-24,2011
2004365,1000079,2021-04-25,2010
2004366,1000486,2021-04-25,2013
2004367,1002164,2021-04-25,2007
2004368,1002313,2021-04-25,2011
2004369,1002316,2021-04-25,2011
2004370,1002447,2021-04-25,2011
2004371,1000267,2021-04-26,2010
2004372,1000602,2021-04-26,2015
2004373,1000710,2021-04-26,2015
2004374,1000729,2021-04-26,2007
2004377,1002311,2021-04-26,2011
2004378,1002314,2021-04-27,2011
2004379,1002449,2021-04-27,2011
2004380,1000308,2021-04-28,2009
2004382,1001981,2021-04-28,2003
2004383,1002087,2021-04-28,2002
2004384,1002088,2021-04-28,2011
2004385,1002089,2021-04-28,2012
2004386,1002198,2021-04-28,2002
2004387,1002199,2021-04-28,2011
2004388,1002200,2021-04-28,2012
2004389,1002450,2021-04-28,2011
2004390,1000191,2021-04-29,2015
2004391,1000304,2021-04-29,2014
2004392,1000378,2021-04-29,2015
2004393,1000530,2021-04-29,2015
2004394,1000818,2021-04-29,2015
2004395,1001940,2021-04-29,2008
2004396,1002363,2021-04-29,2011
2004397,1002404,2021-04-29,2011
2004398,1002451,2021-04-29,2011
2004399,1000035,2021-04-30,2011
2004400,1000266,2021-04-30,2010
2004401,1000379,2021-04-30,2015
2004402,1000774,2021-04-30,2011
2004403,1000814,2021-04-30,2015
2004404,1002051,2021-04-30,2011
2004405,1002086,2021-04-30,2002
2004406,1002197,2021-04-30,2002
2004407,1002310,2021-04-30,2011
2004408,1002488,2021-04-30,2010
2004409,1000036,2021-05-01,2011
2004410,1000262,2021-05-01,2010
