mem_no,gender,age,addr,join_date
1000680,man,51,Daejeon,2021-03-03
1000681,women,20,Jeju,2021-03-04
1000682,man,20,Daejeon,2021-03-19
1000683,women,30,Daegu,2021-03-20
1000684,women,33,Jeju,2021-03-21
1000685,man,33,Daejeon,2021-03-22
1000686,man,33,Daegu,2021-03-23
1000687,man,32,Gwangju,2021-03-24
1000688,women,52,Incheon,2021-04-08
1000689,man,50,Incheon,2021-04-09
1000690,women,52,Incheon,2021-04-10
1000691,women,54,Gwangju,2021-04-11
1000692,man,54,Incheon,2021-04-12
1000693,man,51,Incheon,2021-04-13
1000694,man,51,Incheon,2021-04-28
1000695,women,52,Seoul,2021-04-29
1000696,man,50,Gyeonggi,2021-04-30
1000697,women,50,Seoul,2021-05-01
1000698,women,50,Seoul,2021-05-02
1000699,man,50,Gyeonggi,2021-05-03
1000700,man,50,Gangwon,2021-05-18
1000701,man,50,Busan,2021-05-19
1000702,women,54,Daejeon,2021-05-20
1000703,man,54,Jeju,2021-05-21
1000704,women,51,Daejeon,2021-05-22
1000705,women,51,Daegu,2021-05-23
1000706,man,52,Gwangju,2021-06-07
1000707,man,54,Incheon,2021-06-08
1000708,man,22,Incheon,2021-06-09
1000709,women,22,Incheon,2021-05-10
1000710,man,31,Seoul,2021-04-10
1000711,women,30,Gyeonggi,2021-03-11
1000712,women,30,Seoul,2021-02-09
1000713,man,33,Seoul,2021-01-10
1000714,man,33,Gyeonggi,2021-01-15
1000715,man,54,Gangwon,2021-01-20
1000716,women,51,Busan,2021-01-25
1000717,man,52,Daejeon,2021-01-30
1000718,women,50,Jeju,2021-02-04
1000719,women,50,Daejeon,2021-02-09
1000720,man,50,Daegu,2021-02-14
1000721,man,50,Jeju,2021-02-19
1000722,man,50,Daejeon,2021-02-24
1000723,women,50,Daegu,2021-03-01
1000724,man,50,Gwangju,2021-03-06
1000725,women,50,Incheon,2021-03-11
1000726,women,50,Incheon,2021-03-16
1000727,man,52,Incheon,2021-03-21
1000728,man,54,Gwangju,2021-03-26
1000729,man,54,Incheon,2021-03-31
1000730,women,54,Incheon,2021-04-05
1000731,man,51,Incheon,2021-04-10
1000732,women,51,Seoul,2021-04-15
1000733,women,52,Gyeonggi,2021-04-20
1000734,man,50,Seoul,2021-04-25
1000735,man,20,Seoul,2021-04-30
1000736,man,28,Gyeonggi,2021-05-05
1000737,women,30,Gangwon,2021-05-10
1000738,man,38,Busan,2021-05-15
1000739,man,29,Gwangju,2021-01-22
1000740,women,20,Incheon,2021-02-12
1000741,women,39,Incheon,2021-01-24
1000742,man,30,Incheon,2021-02-14
1000743,man,30,Seoul,2021-01-26
1000744,man,33,Gyeonggi,2021-02-16
1000745,women,33,Seoul,2021-01-28
1000746,man,50,Seoul,2021-02-18
1000747,women,50,Gyeonggi,2021-01-30
1000748,women,50,Gangwon,2021-02-20
1000749,man,54,Busan,2021-02-01
1000750,man,51,Daejeon,2021-02-22
1000751,man,51,Jeju,2021-02-03
1000752,women,52,Daejeon,2021-02-24
1000753,man,50,Daegu,2021-02-05
1000754,women,50,Gwangju,2021-02-06
1000755,women,50,Incheon,2021-02-07
1000756,man,50,Incheon,2021-02-08
1000757,man,50,Incheon,2021-02-09
1000758,man,50,Seoul,2021-02-10
1000759,women,52,Gyeonggi,2021-02-11
1000760,man,52,Seoul,2021-02-12
1000761,women,54,Seoul,2021-02-27
1000762,women,54,Gyeonggi,2021-02-28
1000763,man,51,Gangwon,2021-03-01
1000764,man,51,Busan,2021-03-02
1000765,man,52,Daejeon,2021-03-03
1000766,women,20,Jeju,2021-03-04
1000767,man,20,Daejeon,2021-03-19
1000768,women,30,Daegu,2021-03-20
1000769,women,38,Jeju,2021-03-21
1000770,man,39,Daejeon,2021-03-22
1000771,man,33,Daegu,2021-03-23
1000772,man,32,Gwangju,2021-03-24
1000773,women,50,Incheon,2021-04-08
1000774,man,50,Incheon,2021-04-09
1000775,women,52,Incheon,2021-04-10
1000776,women,54,Gwangju,2021-04-11
1000777,man,54,Incheon,2021-04-12
1000778,man,51,Incheon,2021-04-13
1000779,man,51,Incheon,2021-04-28
1000780,women,52,Seoul,2021-04-29
1000781,man,50,Gyeonggi,2021-04-30
1000782,women,50,Seoul,2021-05-01
1000783,women,50,Seoul,2021-05-02
1000784,man,50,Gyeonggi,2021-05-03
1000785,man,50,Gangwon,2021-05-18
1000786,man,50,Busan,2021-05-19
1000787,women,54,Daejeon,2021-05-20
1000788,man,54,Jeju,2021-05-21
1000789,women,51,Daejeon,2021-05-22
1000790,women,51,Daegu,2021-05-23
1000791,man,52,Gwangju,2021-06-07
1000792,man,50,Incheon,2021-06-08
1000793,man,20,Incheon,2021-06-09
1000794,women,20,Incheon,2021-05-10
1000795,man,31,Seoul,2021-04-10
1000796,women,30,Gyeonggi,2021-03-11
1000797,women,30,Seoul,2021-02-09
1000798,man,33,Seoul,2021-01-10
1000799,man,33,Gyeonggi,2021-01-15
1000800,man,50,Gangwon,2021-01-20
1000801,women,50,Busan,2021-01-25
1000802,man,50,Daejeon,2021-01-30
1000803,women,52,Jeju,2021-02-04
1000804,women,54,Daejeon,2021-02-09
1000805,man,54,Daegu,2021-02-14
1000806,man,51,Jeju,2021-02-19
1000807,man,51,Daejeon,2021-02-24
1000808,women,52,Daegu,2021-03-01
1000809,man,50,Gwangju,2021-03-06
1000810,women,50,Incheon,2021-03-11
1000811,women,50,Incheon,2021-03-16
1000812,man,50,Incheon,2021-03-21
1000813,man,50,Gwangju,2021-03-26
1000814,man,50,Incheon,2021-03-31
1000815,women,50,Incheon,2021-04-05
1000816,man,52,Incheon,2021-04-10
1000817,women,54,Seoul,2021-04-15
1000818,women,54,Gyeonggi,2021-04-20
1000819,man,51,Seoul,2021-04-25
1000820,man,20,Seoul,2021-04-30
1000821,man,22,Gyeonggi,2021-05-05
1000822,women,30,Gangwon,2021-05-10
1000823,man,38,Busan,2021-05-15
1000824,women,39,Gwangju,2020-09-27
1000825,women,30,Gwangju,2020-09-27
1000826,women,30,Gwangju,2020-09-27
1000827,women,30,Gwangju,2020-09-27
1000828,women,30,Gwangju,2020-09-27
1000829,man,30,Incheon,2020-09-23
1000830,man,30,Incheon,2020-09-23
1000831,man,33,Incheon,2020-09-23
1000832,man,33,Incheon,2020-09-23
1000833,man,33,Incheon,2020-09-23
1000834,man,32,Incheon,2020-09-22
1000835,man,31,Incheon,2020-09-22
1000836,man,30,Incheon,2020-09-22
1000837,man,30,Incheon,2020-09-22
1000838,man,33,Incheon,2020-09-22
1000839,women,33,Incheon,2020-09-19
1000840,women,30,Incheon,2020-09-19
1000841,women,38,Incheon,2020-09-19
1000842,women,39,Incheon,2020-09-19
1000843,women,30,Incheon,2020-09-19
1000844,man,22,Incheon,2020-09-17
1000845,man,22,Incheon,2020-09-17
1000846,man,22,Incheon,2020-09-17
1000847,man,21,Incheon,2020-09-17
1000848,man,20,Incheon,2020-09-17
1000849,women,30,Incheon,2020-09-15
1000850,women,38,Incheon,2020-09-15
1000851,women,39,Incheon,2020-09-15
1000852,women,33,Incheon,2020-09-15
1000853,women,33,Incheon,2020-09-15
1000854,man,20,Incheon,2020-09-12
1000855,man,22,Incheon,2020-09-12
1000856,man,22,Incheon,2020-09-12
1000857,man,20,Incheon,2020-09-12
1000858,man,28,Incheon,2020-09-12
1000859,man,51,Seoul,2020-09-11
1000860,man,52,Seoul,2020-09-11
1000861,man,50,Seoul,2020-09-11
1000862,man,50,Seoul,2020-09-11
1000863,man,50,Seoul,2020-09-11
1000864,women,50,Gwangju,2020-09-07
1000865,man,52,Gyeonggi,2020-09-07
1000866,women,54,Gwangju,2020-09-07
1000867,man,54,Gyeonggi,2020-09-07
1000868,women,51,Gwangju,2020-09-07
1000869,man,52,Gyeonggi,2020-09-07
1000870,women,54,Gwangju,2020-09-07
1000871,man,54,Gyeonggi,2020-09-07
1000872,women,51,Gwangju,2020-09-07
1000873,man,51,Gyeonggi,2020-09-07
1000874,man,52,Seoul,2020-09-03
1000875,man,50,Seoul,2020-09-03
1000876,man,48,Seoul,2020-09-03
1000877,man,49,Seoul,2020-09-03
1000878,man,44,Seoul,2020-09-03
1000879,women,43,Daegu,2020-09-02
1000880,women,42,Daegu,2020-09-02
1000881,women,41,Daegu,2020-09-02
1000882,women,40,Daegu,2020-09-02
1000883,women,40,Daegu,2020-09-02
1000884,women,50,Seoul,2020-08-30
1000885,women,50,Seoul,2020-08-30
1000886,women,50,Seoul,2020-08-30
1000887,women,50,Seoul,2020-08-30
1000888,women,50,Seoul,2020-08-30
1000889,man,44,Daejeon,2020-08-28
1000890,man,44,Daejeon,2020-08-28
1000891,man,40,Daejeon,2020-08-28
1000892,man,48,Daejeon,2020-08-28
1000893,man,49,Daejeon,2020-08-28
1000894,man,50,Gyeonggi,2020-08-26
1000895,man,50,Gyeonggi,2020-08-26
1000896,man,50,Gyeonggi,2020-08-26
1000897,man,50,Gyeonggi,2020-08-26
1000898,man,50,Gyeonggi,2020-08-26
1000899,women,40,Jeju,2020-08-23
1000900,women,40,Jeju,2020-08-23
1000901,women,40,Jeju,2020-08-23
1000902,women,40,Jeju,2020-08-23
1000903,women,44,Jeju,2020-08-23
1000904,women,50,Gangwon,2020-08-22
1000905,women,50,Gangwon,2020-08-22
1000906,women,52,Gangwon,2020-08-22
1000907,women,54,Gangwon,2020-08-22
1000908,women,54,Gangwon,2020-08-22
1000909,man,44,Daegu,2020-08-18
1000910,women,51,Busan,2020-08-18
1000911,man,43,Daegu,2020-08-18
1000912,women,51,Busan,2020-08-18
1000913,man,42,Daegu,2020-08-18
1000914,women,52,Busan,2020-08-18
1000915,man,41,Daegu,2020-08-18
1000916,women,50,Busan,2020-08-18
1000917,man,40,Daegu,2020-08-18
1000918,women,52,Busan,2020-08-18
1000919,man,54,Daejeon,2020-08-14
1000920,man,54,Daejeon,2020-08-14
1000921,man,51,Daejeon,2020-08-14
1000922,man,51,Daejeon,2020-08-14
1000923,man,40,Daejeon,2020-08-13
1000924,man,44,Daejeon,2020-08-13
1000925,man,44,Daejeon,2020-08-13
1000926,man,40,Daejeon,2020-08-13
1000927,man,48,Daejeon,2020-08-13
1000928,man,52,Jeju,2020-08-10
1000929,man,54,Jeju,2020-08-10
1000930,man,54,Jeju,2020-08-10
1000931,man,51,Jeju,2020-08-10
1000932,man,52,Jeju,2020-08-08
1000933,man,54,Jeju,2020-08-08
1000934,man,54,Jeju,2020-08-08
1000935,man,51,Jeju,2020-08-08
1000936,man,51,Jeju,2020-08-08
1000937,man,52,Daejeon,2020-08-06
1000938,man,50,Daejeon,2020-08-06
1000939,man,50,Daejeon,2020-08-06
1000940,man,50,Daejeon,2020-08-06
1000941,women,50,Daejeon,2020-08-03
1000942,women,52,Daejeon,2020-08-03
1000943,women,54,Daejeon,2020-08-03
1000944,women,54,Daejeon,2020-08-03
1000945,women,51,Daejeon,2020-08-03
1000946,women,51,Daegu,2020-08-02
1000947,women,52,Daegu,2020-08-02
1000948,women,50,Daegu,2020-08-02
1000949,women,50,Daegu,2020-08-02
1000950,women,52,Busan,2020-07-29
1000951,women,54,Busan,2020-07-29
1000952,man,54,Gwangju,2020-07-29
1000953,women,51,Busan,2020-07-29
1000954,man,51,Gwangju,2020-07-29
1000955,women,52,Busan,2020-07-29
1000956,man,50,Gwangju,2020-07-29
1000957,women,50,Busan,2020-07-29
1000958,man,50,Gwangju,2020-07-29
1000959,women,50,Incheon,2020-07-25
1000960,women,64,Gyeonggi,2020-07-25
1000961,women,50,Incheon,2020-07-25
1000962,women,61,Gyeonggi,2020-07-25
1000963,women,50,Incheon,2020-07-25
1000964,women,62,Gyeonggi,2020-07-25
1000965,women,52,Incheon,2020-07-25
1000966,women,64,Gyeonggi,2020-07-25
1000967,man,54,Gangwon,2020-07-24
1000968,man,54,Gangwon,2020-07-24
1000969,man,51,Gangwon,2020-07-24
1000970,man,51,Gangwon,2020-07-24
1000971,man,52,Gangwon,2020-07-24
1000972,women,50,Incheon,2020-07-21
1000973,women,64,Seoul,2020-07-21
1000974,women,50,Incheon,2020-07-21
1000975,women,61,Seoul,2020-07-21
1000976,women,50,Incheon,2020-07-21
1000977,women,61,Seoul,2020-07-21
1000978,women,50,Incheon,2020-07-21
1000979,women,62,Seoul,2020-07-21
1000980,women,52,Gyeonggi,2020-07-19
1000981,man,49,Incheon,2020-07-17
1000982,man,64,Seoul,2020-07-17
1000983,man,40,Incheon,2020-07-17
1000984,man,64,Seoul,2020-07-17
1000985,man,40,Incheon,2020-07-17
1000986,man,61,Seoul,2020-07-17
1000987,man,44,Incheon,2020-07-17
1000988,man,61,Seoul,2020-07-17
1000989,man,54,Seoul,2020-07-14
1000990,man,44,Seoul,2020-07-13
1000991,man,62,Gyeonggi,2020-07-13
1000992,man,40,Seoul,2020-07-13
1000993,man,60,Gyeonggi,2020-07-13
1000994,man,48,Seoul,2020-07-13
1000995,man,60,Gyeonggi,2020-07-13
1000996,man,49,Seoul,2020-07-13
1000997,man,60,Gyeonggi,2020-07-13
1000998,man,54,Seoul,2020-07-09
1000999,man,43,Gyeonggi,2020-07-09
1001000,man,60,Gangwon,2020-07-09
1001001,man,42,Gyeonggi,2020-07-09
1001002,man,62,Gangwon,2020-07-09
1001003,man,41,Gyeonggi,2020-07-09
1001004,man,64,Gangwon,2020-07-09
1001005,man,40,Gyeonggi,2020-07-09
1001006,man,64,Gangwon,2020-07-09
1001007,women,40,Seoul,2020-07-05
1001008,women,61,Busan,2020-07-05
1001009,women,44,Seoul,2020-07-05
1001010,women,61,Busan,2020-07-05
1001011,women,44,Seoul,2020-07-05
1001012,women,62,Busan,2020-07-05
1001013,women,40,Seoul,2020-07-05
1001014,women,60,Busan,2020-07-05
1001015,man,51,Gyeonggi,2020-07-04
1001016,man,48,Seoul,2020-07-01
1001017,man,60,Daejeon,2020-07-01
1001018,man,49,Seoul,2020-07-01
1001019,man,60,Daejeon,2020-07-01
1001020,man,40,Seoul,2020-07-01
1001021,man,60,Daejeon,2020-07-01
1001022,man,40,Seoul,2020-07-01
1001023,man,64,Daejeon,2020-07-01
1001024,women,52,Seoul,2020-06-29
1001025,women,40,Gyeonggi,2020-06-27
1001026,women,64,Jeju,2020-06-27
1001027,women,40,Gyeonggi,2020-06-27
1001028,women,63,Jeju,2020-06-27
1001029,women,40,Gyeonggi,2020-06-27
1001030,women,62,Jeju,2020-06-27
1001031,women,40,Gyeonggi,2020-06-27
1001032,women,61,Jeju,2020-06-27
1001033,women,54,Incheon,2020-06-24
1001034,women,29,Gangwon,2020-06-23
1001035,women,60,Daejeon,2020-06-23
1001036,women,20,Gangwon,2020-06-23
1001037,women,60,Daejeon,2020-06-23
1001038,women,20,Gangwon,2020-06-23
1001039,women,65,Daejeon,2020-06-23
1001040,women,22,Gangwon,2020-06-23
1001041,women,66,Daejeon,2020-06-23
1001042,man,54,Incheon,2020-06-19
1001043,man,22,Busan,2020-06-19
1001044,man,60,Daegu,2020-06-19
1001045,man,22,Busan,2020-06-19
1001046,man,68,Daegu,2020-06-19
1001047,man,22,Busan,2020-06-19
1001048,man,69,Daegu,2020-06-19
1001049,man,22,Busan,2020-06-19
1001050,man,60,Daegu,2020-06-19
1001051,man,32,Daejeon,2020-06-15
1001052,man,60,Jeju,2020-06-15
1001053,man,31,Daejeon,2020-06-15
1001054,man,60,Jeju,2020-06-15
1001055,man,30,Daejeon,2020-06-15
1001056,man,60,Jeju,2020-06-15
1001057,man,30,Daejeon,2020-06-15
1001058,man,60,Jeju,2020-06-15
1001059,women,44,Incheon,2020-06-14
1001060,man,33,Jeju,2020-06-11
1001061,man,60,Daejeon,2020-06-11
1001062,man,33,Jeju,2020-06-11
1001063,man,60,Daejeon,2020-06-11
1001064,man,30,Jeju,2020-06-11
1001065,man,60,Daejeon,2020-06-11
1001066,man,38,Jeju,2020-06-11
1001067,man,60,Daejeon,2020-06-11
1001068,man,22,Incheon,2020-06-09
1001069,man,44,Gwangju,2020-06-09
1001070,man,21,Incheon,2020-06-09
1001071,man,20,Incheon,2020-06-09
1001072,man,43,Incheon,2020-06-08
1001073,man,42,Incheon,2020-06-08
1001074,man,41,Incheon,2020-06-08
1001075,man,40,Gwangju,2020-06-07
1001076,women,39,Daejeon,2020-06-07
1001077,women,60,Daegu,2020-06-07
1001078,women,30,Daejeon,2020-06-07
1001079,women,60,Daegu,2020-06-07
1001080,women,30,Daejeon,2020-06-07
1001081,women,60,Daegu,2020-06-07
1001082,women,30,Daejeon,2020-06-07
1001083,women,60,Daegu,2020-06-07
1001084,man,40,Gwangju,2020-06-07
1001085,man,44,Gwangju,2020-06-07
1001086,man,44,Daegu,2020-06-04
1001087,man,30,Daegu,2020-06-03
1001088,man,60,Gwangju,2020-06-03
1001089,man,33,Daegu,2020-06-03
1001090,man,64,Gwangju,2020-06-03
1001091,man,33,Daegu,2020-06-03
1001092,man,64,Gwangju,2020-06-03
1001093,man,33,Daegu,2020-06-03
1001094,man,63,Gwangju,2020-06-03
1001095,man,32,Daejeon,2020-05-30
1001096,women,31,Jeju,2020-05-30
1001097,women,62,Incheon,2020-05-30
1001098,women,30,Jeju,2020-05-30
1001099,women,61,Incheon,2020-05-30
1001100,women,30,Jeju,2020-05-30
1001101,women,60,Incheon,2020-05-30
1001102,women,33,Jeju,2020-05-30
1001103,women,60,Incheon,2020-05-30
1001104,women,40,Daejeon,2020-05-26
1001105,women,65,Incheon,2020-05-26
1001106,women,48,Daejeon,2020-05-26
1001107,women,66,Incheon,2020-05-26
1001108,women,49,Daejeon,2020-05-26
1001109,women,60,Incheon,2020-05-26
1001110,women,40,Daejeon,2020-05-26
1001111,women,68,Incheon,2020-05-26
1001112,women,33,Jeju,2020-05-25
1001113,women,40,Daegu,2020-05-23
1001114,women,44,Daegu,2020-05-23
1001115,women,44,Daegu,2020-05-23
1001116,women,44,Daejeon,2020-05-22
1001117,man,44,Daegu,2020-05-22
1001118,man,69,Incheon,2020-05-22
1001119,man,43,Daegu,2020-05-22
1001120,man,60,Incheon,2020-05-22
1001121,man,42,Daegu,2020-05-22
1001122,man,60,Incheon,2020-05-22
1001123,man,41,Daegu,2020-05-22
1001124,man,65,Incheon,2020-05-22
1001125,women,40,Daejeon,2020-05-22
1001126,women,40,Daejeon,2020-05-22
1001127,man,44,Jeju,2020-05-21
1001128,man,44,Jeju,2020-05-21
1001129,man,40,Jeju,2020-05-21
1001130,women,48,Daejeon,2020-05-20
1001131,women,30,Daejeon,2020-05-20
1001132,women,49,Daejeon,2020-05-20
1001133,women,40,Daejeon,2020-05-20
1001134,man,51,Busan,2020-05-19
1001135,man,51,Busan,2020-05-19
1001136,man,52,Busan,2020-05-19
1001137,man,50,Gangwon,2020-05-18
1001138,man,66,Gwangju,2020-05-18
1001139,man,40,Gwangju,2020-05-18
1001140,man,60,Gwangju,2020-05-18
1001141,man,40,Gwangju,2020-05-18
1001142,man,68,Gwangju,2020-05-18
1001143,man,40,Gwangju,2020-05-18
1001144,man,64,Gwangju,2020-05-18
1001145,man,40,Gwangju,2020-05-18
1001146,man,64,Gwangju,2020-05-18
1001147,man,55,Gangwon,2020-05-18
1001148,man,55,Gangwon,2020-05-18
1001149,man,38,Busan,2020-05-15
1001150,man,39,Busan,2020-05-15
1001151,man,30,Busan,2020-05-15
1001152,man,63,Incheon,2020-05-14
1001153,man,50,Incheon,2020-05-14
1001154,man,62,Incheon,2020-05-14
1001155,man,58,Incheon,2020-05-14
1001156,man,61,Incheon,2020-05-14
1001157,man,59,Incheon,2020-05-14
1001158,man,60,Incheon,2020-05-14
1001159,man,54,Incheon,2020-05-14
1001160,man,60,Incheon,2020-05-14
1001161,women,20,Incheon,2020-05-10
1001162,women,30,Gangwon,2020-05-10
1001163,women,65,Incheon,2020-05-10
1001164,women,53,Incheon,2020-05-10
1001165,women,66,Incheon,2020-05-10
1001166,women,52,Incheon,2020-05-10
1001167,women,60,Incheon,2020-05-10
1001168,women,51,Incheon,2020-05-10
1001169,women,68,Incheon,2020-05-10
1001170,women,50,Incheon,2020-05-10
1001171,women,69,Incheon,2020-05-10
1001172,women,22,Incheon,2020-05-10
1001173,women,33,Gangwon,2020-05-10
1001174,women,22,Incheon,2020-05-10
1001175,women,33,Gangwon,2020-05-10
1001176,man,64,Incheon,2020-05-06
1001177,man,50,Incheon,2020-05-06
1001178,man,63,Incheon,2020-05-06
1001179,man,55,Incheon,2020-05-06
1001180,man,62,Incheon,2020-05-06
1001181,man,55,Incheon,2020-05-06
1001182,man,61,Incheon,2020-05-06
1001183,man,50,Incheon,2020-05-06
1001184,man,60,Incheon,2020-05-06
1001185,man,20,Gyeonggi,2020-05-05
1001186,man,28,Gyeonggi,2020-05-05
1001187,man,29,Gyeonggi,2020-05-05
1001188,man,58,Gyeonggi,2020-05-03
1001189,man,59,Gyeonggi,2020-05-03
1001190,man,50,Gyeonggi,2020-05-03
1001191,women,50,Seoul,2020-05-02
1001192,women,60,Seoul,2020-05-02
1001193,women,50,Gwangju,2020-05-02
1001194,women,65,Seoul,2020-05-02
1001195,women,50,Gwangju,2020-05-02
1001196,women,66,Seoul,2020-05-02
1001197,women,54,Gwangju,2020-05-02
1001198,women,60,Seoul,2020-05-02
1001199,women,54,Gwangju,2020-05-02
1001200,women,68,Seoul,2020-05-02
1001201,women,53,Seoul,2020-05-02
1001202,women,52,Seoul,2020-05-02
1001203,women,51,Seoul,2020-05-01
1001204,women,50,Seoul,2020-05-01
1001205,women,50,Seoul,2020-05-01
1001206,man,55,Gyeonggi,2020-04-30
1001207,man,25,Seoul,2020-04-30
1001208,man,55,Gyeonggi,2020-04-30
1001209,man,23,Seoul,2020-04-30
1001210,man,50,Gyeonggi,2020-04-30
1001211,man,23,Seoul,2020-04-30
1001212,women,58,Seoul,2020-04-29
1001213,women,59,Seoul,2020-04-29
1001214,women,50,Seoul,2020-04-29
1001215,man,50,Incheon,2020-04-28
1001216,women,69,Gyeonggi,2020-04-28
1001217,women,55,Incheon,2020-04-28
1001218,women,60,Gyeonggi,2020-04-28
1001219,women,55,Incheon,2020-04-28
1001220,women,60,Gyeonggi,2020-04-28
1001221,women,50,Incheon,2020-04-28
1001222,women,60,Gyeonggi,2020-04-28
1001223,women,58,Incheon,2020-04-28
1001224,women,60,Gyeonggi,2020-04-28
1001225,man,59,Incheon,2020-04-28
1001226,man,53,Incheon,2020-04-28
1001227,man,40,Seoul,2020-04-25
1001228,man,44,Seoul,2020-04-25
1001229,man,44,Seoul,2020-04-25
1001230,man,64,Seoul,2020-04-24
1001231,man,52,Incheon,2020-04-24
1001232,man,64,Seoul,2020-04-24
1001233,man,51,Incheon,2020-04-24
1001234,man,63,Seoul,2020-04-24
1001235,man,50,Incheon,2020-04-24
1001236,man,62,Seoul,2020-04-24
1001237,man,50,Incheon,2020-04-24
1001238,man,61,Seoul,2020-04-24
1001239,women,43,Gyeonggi,2020-04-20
1001240,man,60,Seoul,2020-04-20
1001241,man,55,Incheon,2020-04-20
1001242,man,60,Seoul,2020-04-20
1001243,man,55,Incheon,2020-04-20
1001244,man,65,Seoul,2020-04-20
1001245,man,50,Incheon,2020-04-20
1001246,man,66,Seoul,2020-04-20
1001247,man,58,Incheon,2020-04-20
1001248,man,60,Seoul,2020-04-20
1001249,women,42,Gyeonggi,2020-04-20
1001250,women,41,Gyeonggi,2020-04-20
1001251,man,68,Gyeonggi,2020-04-16
1001252,man,59,Seoul,2020-04-16
1001253,man,69,Gyeonggi,2020-04-16
1001254,man,50,Seoul,2020-04-16
1001255,man,60,Gyeonggi,2020-04-16
1001256,man,50,Seoul,2020-04-16
1001257,man,60,Gyeonggi,2020-04-16
1001258,man,50,Seoul,2020-04-16
1001259,man,65,Gyeonggi,2020-04-16
1001260,women,48,Seoul,2020-04-15
1001261,women,49,Seoul,2020-04-15
1001262,women,44,Seoul,2020-04-15
1001263,man,50,Incheon,2020-04-13
1001264,man,50,Incheon,2020-04-13
1001265,man,50,Incheon,2020-04-13
1001266,man,54,Incheon,2020-04-12
1001267,women,66,Gangwon,2020-04-12
1001268,women,54,Gyeonggi,2020-04-12
1001269,women,60,Gangwon,2020-04-12
1001270,women,53,Gyeonggi,2020-04-12
1001271,women,68,Gangwon,2020-04-12
1001272,women,52,Gyeonggi,2020-04-12
1001273,women,69,Gangwon,2020-04-12
1001274,women,51,Gyeonggi,2020-04-12
1001275,women,63,Gangwon,2020-04-12
1001276,man,50,Incheon,2020-04-12
1001277,man,50,Incheon,2020-04-12
1001278,women,55,Gwangju,2020-04-11
1001279,women,55,Gwangju,2020-04-11
1001280,women,50,Gwangju,2020-04-11
1001281,women,43,Incheon,2020-04-10
1001282,man,30,Seoul,2020-04-10
1001283,man,42,Incheon,2020-04-10
1001284,women,41,Incheon,2020-04-10
1001285,man,38,Seoul,2020-04-10
1001286,man,40,Incheon,2020-04-10
1001287,women,40,Incheon,2020-04-10
1001288,man,39,Seoul,2020-04-10
1001289,man,44,Incheon,2020-04-10
1001290,man,44,Incheon,2020-04-09
1001291,man,40,Incheon,2020-04-09
1001292,man,48,Incheon,2020-04-09
1001293,women,49,Incheon,2020-04-08
1001294,man,62,Busan,2020-04-08
1001295,man,58,Seoul,2020-04-08
1001296,man,61,Busan,2020-04-08
1001297,man,59,Seoul,2020-04-08
1001298,man,60,Busan,2020-04-08
1001299,man,50,Seoul,2020-04-08
1001300,man,60,Busan,2020-04-08
1001301,man,50,Seoul,2020-04-08
1001302,man,65,Busan,2020-04-08
1001303,women,40,Incheon,2020-04-08
1001304,women,40,Incheon,2020-04-08
1001305,women,40,Incheon,2020-04-05
1001306,women,40,Incheon,2020-04-05
1001307,women,44,Incheon,2020-04-05
1001308,women,66,Daejeon,2020-04-04
1001309,women,55,Seoul,2020-04-04
1001310,women,60,Daejeon,2020-04-04
1001311,women,55,Seoul,2020-04-04
1001312,women,68,Daejeon,2020-04-04
1001313,women,54,Seoul,2020-04-04
1001314,women,69,Daejeon,2020-04-04
1001315,women,54,Seoul,2020-04-04
1001316,women,60,Daejeon,2020-04-04
1001317,man,44,Incheon,2020-03-31
1001318,women,60,Jeju,2020-03-31
1001319,women,43,Gyeonggi,2020-03-31
1001320,women,60,Jeju,2020-03-31
1001321,women,42,Gyeonggi,2020-03-31
1001322,women,60,Jeju,2020-03-31
1001323,women,41,Gyeonggi,2020-03-31
1001324,women,60,Jeju,2020-03-31
1001325,women,40,Gyeonggi,2020-03-31
1001326,women,60,Jeju,2020-03-31
1001327,man,40,Incheon,2020-03-31
1001328,man,44,Incheon,2020-03-31
1001329,man,64,Daejeon,2020-03-27
1001330,man,44,Gangwon,2020-03-27
1001331,man,64,Daejeon,2020-03-27
1001332,man,40,Gangwon,2020-03-27
1001333,man,63,Daejeon,2020-03-27
1001334,man,48,Gangwon,2020-03-27
1001335,man,62,Daejeon,2020-03-27
1001336,man,49,Gangwon,2020-03-27
1001337,man,61,Daejeon,2020-03-27
1001338,man,53,Gwangju,2020-03-26
1001339,man,52,Gwangju,2020-03-26
1001340,man,51,Gwangju,2020-03-26
1001341,man,33,Gwangju,2020-03-24
1001342,man,32,Gwangju,2020-03-24
1001343,man,31,Gwangju,2020-03-24
1001344,man,30,Daegu,2020-03-23
1001345,man,60,Daegu,2020-03-23
1001346,man,40,Busan,2020-03-23
1001347,man,60,Daegu,2020-03-23
1001348,man,40,Busan,2020-03-23
1001349,man,65,Daegu,2020-03-23
1001350,man,44,Busan,2020-03-23
1001351,man,66,Daegu,2020-03-23
1001352,man,44,Busan,2020-03-23
1001353,man,60,Daegu,2020-03-23
1001354,man,30,Daegu,2020-03-23
1001355,man,33,Daegu,2020-03-23
1001356,man,33,Daejeon,2020-03-22
1001357,man,30,Daejeon,2020-03-22
1001358,man,38,Daejeon,2020-03-22
1001359,women,39,Jeju,2020-03-21
